Altium Designer Pick and Place Locations
Z:\Documents\Development\InfraredRemoteControl\Hardware\IR_Remote\Outputs 28-Oct-25 4-10-13 PM\Pick Place for IR_Remote.csv

========================================================================================================================
File Design Information:

Date:       28-10-25
Time:       16:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"C1","TopLayer","CCNP1608-0603_N","-255.000","780.000","0"
"C2","TopLayer","CCNP2012-0805","275.000","200.000","0"
"C3","TopLayer","CCNP2012-0805","270.000","-40.000","180"
"C4","TopLayer","CCNP1608-0603_N","-600.000","-190.000","0"
"C5","TopLayer","CCNP2012-0805","517.000","-190.000","270"
"C6","TopLayer","CCNP1608-0603_N","-600.000","-260.000","0"
"C7","TopLayer","CCNP1608-0603_N","-600.000","-315.000","0"
"C8","TopLayer","CCNP1608-0603_N","-250.000","-530.000","90"
"C9","TopLayer","CCNP2012-0805","440.000","280.000","90"
"C10","TopLayer","CCNP1608-0603_N","330.000","-335.000","180"
"C11","TopLayer","CCNP1608-0603_N","-500.000","-35.000","270"
"D1","TopLayer","SOD-123FL","240.000","315.000","180"
"D4","TopLayer","LED1608-0603-RED_N","-288.000","248.000","180"
"D5","BottomLayer","TFT_320x480_-_connector_only","0.000","0.000","0"
"J1","TopLayer","USB4085-GF-A","-595.000","410.630","0"
"J2","TopLayer","JST-P3B-PH","700.000","650.000","270"
"J3","TopLayer","JST-P2B-PH","700.000","-190.630","270"
"J4","TopLayer","JST-P3B-PH","700.000","-600.000","270"
"Logo1","BottomLayer","OSHW","-900.000","-1220.000","180"
"P1","TopLayer","SWD-2x5-Jig-Pads","-621.851","-538.407","90"
"Q1","TopLayer","SOT23_M","165.000","600.000","180"
"Q2","TopLayer","SOT23_N","270.000","435.000","180"
"R1","TopLayer","CR1608-0603_N","-577.850","-60.651","270"
"R2","TopLayer","CR1608-0603_N","-621.850","-60.651","270"
"R3","TopLayer","CR1608-0603_N","-433.071","610.236","180"
"R4","TopLayer","CR1608-0603_N","-433.071","659.449","0"
"R5","TopLayer","CR1608-0603_N","295.000","685.000","0"
"R6","TopLayer","CR1608-0603_N","-287.000","292.000","0"
"R7","TopLayer","CR1608-0603_N","295.000","730.000","0"
"R8","TopLayer","CR1608-0603_N","75.000","735.000","0"
"R9","TopLayer","CR1608-0603_N","600.000","424.000","0"
"R10","TopLayer","CR1608-0603_N","265.000","545.000","0"
"R11","TopLayer","CR2012-0805","495.000","475.000","90"
"R12","TopLayer","CR1608-0603_N","330.000","-230.000","0"
"R13","TopLayer","CR1608-0603_N","330.000","-280.000","180"
"S1","BottomLayer","SW_SMT_K2-6639SP-C4SC-04","-275.591","-787.402","270"
"S2","BottomLayer","SW_SMT_K2-6639SP-C4SC-04","-275.591","-262.467","270"
"S3","BottomLayer","SW_SMT_K2-6639SP-C4SC-04","-275.591","262.467","270"
"S4","BottomLayer","SW_SMT_K2-6639SP-C4SC-04","-275.591","787.402","270"
"TP_BAT","TopLayer","PCBPIN_-_0.7mm","370.000","-146.000","90"
"TP_DBG","TopLayer","PCBPIN_-_0.9mm","-415.000","50.000","90"
"TP_GND","TopLayer","PCBPIN_-_0.9mm","200.000","-602.000","90"
"TP_IR","TopLayer","PCBPIN_-_0.7mm","-89.000","722.000","90"
"TP_3V","TopLayer","PCBPIN_-_0.7mm","351.000","-600.000","90"
"U1","TopLayer","SOT23_M","270.000","80.000","180"
"U2","TopLayer","TSQFP50P900X900-48M","-309.349","-219.351","270"
"U3","TopLayer","ESOP8","599.937","231.000","180"
"Y1","TopLayer","Crystal_SMD_3.2x2.5","-155.000","-560.000","270"
"Z1","TopLayer","SOT23_N","-385.000","410.000","180"
